ForestType,No.Plot,Elevation,Slope,DistRiver,CoordinateX,CoordinateY,Species,Number
Primary,2,900,1.5,10,2.25,0.475,Rhododendron_leptothrium,6
Primary,2,900,1.5,10,2.25,0.475,Rhododendron_decorum,8
Primary,2,900,1.5,10,2.25,0.475,Ficus_heteromorpha,10
Primary,2,900,1.5,10,2.25,0.475,Osbeckia_mepalensis,1
Primary,2,900,1.5,10,2.25,0.475,Vaccinium_duclouxii,1
Primary,3,900,1.5,7.5,3,0.5,Rhododendron_leptothrium,3
Primary,3,900,1.5,7.5,3,0.5,Rhododendron_decorum,7
Primary,3,900,1.5,7.5,3,0.5,Ficus_heteromorpha,14
Primary,3,900,1.5,7.5,3,0.5,Itoa_orientalis,2
Secondary,1,900,1,10,8,0.075,Rhododendron_leptothrium,8
Secondary,1,900,1,10,8,0.075,Rhododendron_decorum,5
Secondary,1,900,1,10,8,0.075,Itoa_orientalis,1
Secondary,2,900,1,9,7.75,0.125,Rhododendron_leptothrium,11
Secondary,2,900,1,9,7.75,0.125,Rhododendron_decorum,5
Secondary,2,900,1,9,7.75,0.125,Itoa_orientalis,3
Secondary,3,900,1,11,8.25,0.125,Rhododendron_leptothrium,5
Secondary,3,900,1,11,8.25,0.125,Rhododendron_decorum,6
Secondary,3,900,1,11,8.25,0.125,Itoa_orientalis,1
Secondary,3,900,1,11,8.25,0.125,Illicium_macranthum,1
Primary,1,900,0.5,11,2.25,0.525,Rhododendron_leptothrium,4
Primary,1,900,0.5,11,2.25,0.525,Rhododendron_decorum,9
Primary,1,900,0.5,11,2.25,0.525,Ficus_heteromorpha,16
Secondary,1,600,2.2,6,7,0.175,Illicium_macranthum,1
Secondary,1,600,2.2,6,7,0.175,Itoa_orientalis,2
Secondary,1,600,2.2,6,7,0.175,Rhododendron_decorum,4
Secondary,1,600,2.2,6,7,0.175,Manglietia_insignis,1
Secondary,2,600,6,13.1,8,0.4,Rhododendron_decorum,1
Secondary,2,600,6,13.1,8,0.4,Itoa_orientalis,2
Secondary,2,600,6,13.1,8,0.4,Beilschmiedia_robusta,1
Secondary,2,600,6,13.1,8,0.4,Sterculia_nobilis,1
Secondary,2,600,6,13.1,8,0.4,Saurauia_napaulensis,1
Secondary,3,600,5.8,18,10,0.1,Rhododendron_decorum,1
Secondary,3,600,5.8,18,10,0.1,Padus_napaulensis,2
Secondary,3,600,5.8,18,10,0.1,Illicium_macranthum,5
Primary,1,600,5.5,2.8,4,0.4,Rhododendron_leptothrium,4
Primary,1,600,5.5,2.8,4,0.4,Itoa_orientalis,2
Primary,1,600,5.5,2.8,4,0.4,Ficus_heteromorpha,1
Primary,1,600,5.5,2.8,4,0.4,Rhododendron_decorum,1
Primary,2,600,8.2,12.9,2,0.2,Rhododendron_decorum,4
Primary,2,600,8.2,12.9,2,0.2,Itoa_orientalis,3
Primary,2,600,8.2,12.9,2,0.2,Ficus_heteromorpha,1
Primary,2,600,8.2,12.9,2,0.2,Craibiodendron_yunnanense,1
Primary,2,600,8.2,12.9,2,0.2,Osbeckia_mepalensis,1
Primary,2,600,8.2,12.9,2,0.2,Manglietia_insignis,1
Primary,3,600,3.6,14.8,1,0.5,Osbeckia_mepalensis,3
Primary,3,600,3.6,14.8,1,0.5,Rhododendron_irroratum,1
Primary,3,600,3.6,14.8,1,0.5,Vaccinium_duclouxii,1
Primary,3,600,3.6,14.8,1,0.5,Rhododendron_decorum,3
Primary,3,600,3.6,14.8,1,0.5,Ficus_heteromorpha,2
Primary,3,600,3.6,14.8,1,0.5,Itoa_orientalis,3
Primary,1,500,6,21,10,0.3,Padus_napaulensis,4
Primary,1,500,6,21,10,0.3,Illicium_macranthum,1
Primary,1,500,6,21,10,0.3,Rhododendron_irroratum,2
Primary,1,500,6,21,10,0.3,Ilex_corallina,1
Primary,1,500,6,21,10,0.3,Rhododendron_decorum,1
Primary,2,500,5,13,8,0.5,Padus_napaulensis,1
Primary,2,500,5,13,8,0.5,Illicium_macranthum,4
Primary,2,500,5,13,8,0.5,Rhododendron_irroratum,2
Primary,2,500,5,13,8,0.5,Saurauia_napaulensis,2
Primary,3,500,5,1,6,0.2,Padus_napaulensis,2
Primary,3,500,5,1,6,0.2,Illicium_macranthum,2
Primary,3,500,5,1,6,0.2,Lithocarpus_hancei,1
Primary,3,500,5,1,6,0.2,Sterculia_nobilis,1
Primary,3,500,5,1,6,0.2,Manglietia_insignis,7
Secondary,1,500,6.5,6,4,0.1,Manglietia_insignis,3
Secondary,1,500,6.5,6,4,0.1,Rhododendron_irroratum,2
Secondary,1,500,6.5,6,4,0.1,Schefflera_fengii,1
Secondary,1,500,6.5,6,4,0.1,Skimmia_arborescens,1
Secondary,1,500,6.5,6,4,0.1,Ficus_heteromorpha,1
Secondary,1,500,6.5,6,4,0.1,Craibiodendron_yunnanense,1
Secondary,1,500,6.5,6,4,0.1,Itoa_orientalis,1
Secondary,1,500,6.5,6,4,0.1,Litsea_chunii,2
Secondary,2,500,6,7,3,0.05,Schefflera_fengii,1
Secondary,2,500,6,7,3,0.05,Craibiodendron_yunnanense,1
Secondary,2,500,6,7,3,0.05,Rhododendron_decorum,2
Secondary,2,500,6,7,3,0.05,Claoxylon_khasianum,1
Secondary,2,500,6,7,3,0.05,Schefflera_shweliensis,1
Secondary,3,500,5,16,1,0.1,Schefflera_fengii,1
Secondary,3,500,5,16,1,0.1,Itoa_orientalis,1
Secondary,3,500,5,16,1,0.1,Schefflera_shweliensis,2
Secondary,3,500,5,16,1,0.1,Camellia_forrestii,1
Secondary,3,500,5,16,1,0.1,Osbeckia_mepalensis,1
Secondary,1,800,4,10,8,0.225,Rhododendron leptothrium,12
Secondary,1,800,4,10,8,0.225,Itoa_orientalis,2
Secondary,1,800,4,10,8,0.225,Manglietia_insignis,1
Secondary,2,800,1.6,13,8.75,0.075,Rhododendron_leptothrium,6
Secondary,2,800,1.6,13,8.75,0.075,Rhododendron_decorum,8
Secondary,2,800,1.6,13,8.75,0.075,Craibiodendron_yunnanense,1
Secondary,3,800,1.5,6.8,7.25,0.125,Rhododendron_leptothrium,8
Secondary,3,800,1.5,6.8,7.25,0.125,Itoa_orientalis,1
Secondary,3,800,1.5,6.8,7.25,0.125,Rhododendron_decorum,1
Primary,1,800,2,6,3.25,0.475,Ficus_heteromorpha,14
Primary,1,800,2,6,3.25,0.475,Rhododendron_decorum,5
Primary,1,800,2,6,3.25,0.475,Rhododendron_leptothrium,4
Primary,1,800,2,6,3.25,0.475,Itoa_orientalis,4
Primary,2,800,4,11.6,2.25,0.3,Ficus_heteromorpha,11
Primary,2,800,4,11.6,2.25,0.3,Rhododendron_decorum,3
Primary,2,800,4,11.6,2.25,0.3,Rhododendron_leptothrium,4
Primary,2,800,4,11.6,2.25,0.3,Osbeckia_mepalensis,1
Primary,3,800,1.8,11.4,1.75,0.4,Ficus_heteromorpha,6
Primary,3,800,1.8,11.4,1.75,0.4,Rhododendron_decorum,6
Primary,3,800,1.8,11.4,1.75,0.4,Rhododendron_leptothrium,6
Primary,3,800,1.8,11.4,1.75,0.4,Camellia_forrestii,1
Primary,3,800,1.8,11.4,1.75,0.4,Itoa_orientalis,2